Grau	Codigo	Descricao	Categoria	Data Início	Data Fim
N4	01029000	- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N3	01030000	ANIMAIS VIVOS DA ESPÉCIE SUÍNA.	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01031000	- REPRODUTORES DE RAÇA PURA	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01039000	- OUTROS:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01039100	-- DE PESO INFERIOR A 50 KG	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01039200	-- DE PESO IGUAL OU SUPERIOR A 50 KG	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N3	01040000	ANIMAIS VIVOS DAS ESPÉCIES OVINA E CAPRINA.	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01041000	- OVINOS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01041010	REPRODUTORES DE RAÇA PURA	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N7	01041011	PRENHES OU COM CRIA AO PÉ	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N7	01041019	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01041090	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01042000	- CAPRINOS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01042010	REPRODUTORES DE RAÇA PURA	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01042090	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N3	01050000	AVES DA ESPÉCIE GALLUS DOMESTICUS, PATOS, GANSOS, PERUS, PERUAS E GALINHAS-D'ANGOLA (PINTADAS), DAS ESPÉCIES DOMÉSTICAS, VIVOS.	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01051000	- DE PESO NÃO SUPERIOR A 185 G:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01051100	-- AVES DA ESPÉCIE GALLUS DOMESTICUS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01051110	DE LINHAS PURAS OU HÍBRIDAS, PARA REPRODUÇÃO	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01051190	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01051200	-- PERUAS E PERUS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01051300	-- PATOS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01051400	-- GANSOS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01051500	-- GALINHAS-D'ANGOLA (PINTADAS)	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01059000	- OUTROS:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01059400	-- AVES DA ESPÉCIE GALLUS DOMESTICUS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01059900	-- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N3	01060000	OUTROS ANIMAIS VIVOS.	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01061000	- MAMÍFEROS:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01061100	-- PRIMATAS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01061200	-- BALEIAS, GOLFINHOS E BOTOS (MAMÍFEROS DA ORDEM CETACEA); PEIXES-BOI (MANATINS) E DUGONGOS (MAMÍFEROS DA ORDEM SIRENIA); OTÁRIAS E FOCAS, LEÕES-MARINHOS E MORSAS (MAMÍFEROS DA SUBORDEM PINNIPEDIA)	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01061300	-- CAMELOS E OUTROS CAMELÍDEOS (CAMELIDAE)	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01061400	-- COELHOS E LEBRES	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01061900	-- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01062000	- RÉPTEIS (INCLUINDO AS SERPENTES E AS TARTARUGAS MARINHAS)	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01063000	- AVES:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01063100	-- AVES DE RAPINA	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01063200	-- PSITACIFORMES (INCLUINDO OS PAPAGAIOS, OS PERIQUITOS, AS ARARAS E AS CATATUAS)	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01063300	-- AVESTRUZES; EMUS (DROMAIUS NOVAEHOLLANDIAE)	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01063310	AVESTRUZES (STRUTHIO CAMELUS), PARA REPRODUÇÃO	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01063390	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01063900	-- OUTRAS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01064000	- INSETOS:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01064100	-- ABELHAS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01064900	-- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01069000	- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N1	02000000	CARNES E MIUDEZAS, COMESTÍVEIS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02010000	CARNES DE ANIMAIS DA ESPÉCIE BOVINA, FRESCAS OU REFRIGERADAS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02011000	- CARCAÇAS E MEIAS-CARCAÇAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02012000	- OUTRAS PEÇAS NÃO DESOSSADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02012010	QUARTOS DIANTEIROS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02012020	QUARTOS TRASEIROS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02012090	OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02013000	- DESOSSADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02020000	CARNES DE ANIMAIS DA ESPÉCIE BOVINA, CONGELADAS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02021000	- CARCAÇAS E MEIAS-CARCAÇAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02022000	- OUTRAS PEÇAS NÃO DESOSSADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02022010	QUARTOS DIANTEIROS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02022020	QUARTOS TRASEIROS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02022090	OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02023000	- DESOSSADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02030000	CARNES DE ANIMAIS DA ESPÉCIE SUÍNA, FRESCAS, REFRIGERADAS OU CONGELADAS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02031000	- FRESCAS OU REFRIGERADAS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02031100	-- CARCAÇAS E MEIAS-CARCAÇAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02031200	-- PERNAS, PÁS E RESPECTIVOS PEDAÇOS, NÃO DESOSSADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02031900	-- OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02032000	- CONGELADAS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02032100	-- CARCAÇAS E MEIAS-CARCAÇAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02032200	-- PERNAS, PÁS E RESPECTIVOS PEDAÇOS, NÃO DESOSSADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02032900	-- OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02040000	CARNES DE ANIMAIS DAS ESPÉCIES OVINA OU CAPRINA, FRESCAS, REFRIGERADAS OU CONGELADAS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02041000	- CARCAÇAS E MEIAS-CARCAÇAS DE CORDEIRO, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02042000	- OUTRAS CARNES DE ANIMAIS DA ESPÉCIE OVINA, FRESCAS OU REFRIGERADAS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02042100	-- CARCAÇAS E MEIAS-CARCAÇAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02042200	-- OUTRAS PEÇAS NÃO DESOSSADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02042300	-- DESOSSADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02043000	- CARCAÇAS E MEIAS-CARCAÇAS DE CORDEIRO, CONGELADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02044000	- OUTRAS CARNES DE ANIMAIS DA ESPÉCIE OVINA, CONGELADAS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02044100	-- CARCAÇAS E MEIAS-CARCAÇAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02044200	-- OUTRAS PEÇAS NÃO DESOSSADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02044300	-- DESOSSADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02045000	- CARNES DE ANIMAIS DA ESPÉCIE CAPRINA	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02050000	CARNES DE ANIMAIS DAS ESPÉCIES CAVALAR, ASININA E MUAR, FRESCAS, REFRIGERADAS OU CONGELADAS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02060000	MIUDEZAS COMESTÍVEIS DE ANIMAIS DAS ESPÉCIES BOVINA, SUÍNA, OVINA, CAPRINA, CAVALAR, ASININA E MUAR, FRESCAS, REFRIGERADAS OU CONGELADAS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02061000	- DA ESPÉCIE BOVINA, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02062000	- DA ESPÉCIE BOVINA, CONGELADAS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02062100	-- LÍNGUAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02062200	-- FÍGADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02062900	-- OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02062910	RABOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02062990	OUTROS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02063000	- DA ESPÉCIE SUÍNA, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02064000	- DA ESPÉCIE SUÍNA, CONGELADAS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02064100	-- FÍGADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02064900	-- OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02068000	- OUTRAS, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02069000	- OUTRAS, CONGELADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02070000	CARNES E MIUDEZAS, COMESTÍVEIS, FRESCAS, REFRIGERADAS OU CONGELADAS, DAS AVES DA POSIÇÃO 01.05.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02071000	- DE AVES DA ESPÉCIE GALLUS DOMESTICUS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02071100	-- NÃO CORTADAS EM PEDAÇOS, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02071200	-- NÃO CORTADAS EM PEDAÇOS, CONGELADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02071300	-- PEDAÇOS E MIUDEZAS, FRESCOS OU REFRIGERADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02071400	-- PEDAÇOS E MIUDEZAS, CONGELADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02072000	- DE PERUAS E DE PERUS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02072400	-- NÃO CORTADAS EM PEDAÇOS, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02072500	-- NÃO CORTADAS EM PEDAÇOS, CONGELADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02072600	-- PEDAÇOS E MIUDEZAS, FRESCOS OU REFRIGERADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02072700	-- PEDAÇOS E MIUDEZAS, CONGELADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02074000	- DE PATOS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02074100	-- NÃO CORTADAS EM PEDAÇOS, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02074200	-- NÃO CORTADAS EM PEDAÇOS, CONGELADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02074300	-- FÍGADOS GORDOS (FOIES GRAS), FRESCOS OU REFRIGERADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02074400	-- OUTRAS, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02074500	-- OUTRAS, CONGELADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02075000	- DE GANSOS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02075100	-- NÃO CORTADAS EM PEDAÇOS, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02075200	-- NÃO CORTADAS EM PEDAÇOS, CONGELADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02075300	-- FÍGADOS GORDOS (FOIES GRAS), FRESCOS OU REFRIGERADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02075400	-- OUTRAS, FRESCAS OU REFRIGERADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02075500	-- OUTRAS, CONGELADAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02076000	- DE GALINHAS-D'ANGOLA (PINTADAS)	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02080000	OUTRAS CARNES E MIUDEZAS COMESTÍVEIS, FRESCAS, REFRIGERADAS OU CONGELADAS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02081000	- DE COELHOS OU LEBRES	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02083000	- DE PRIMATAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02084000	- DE BALEIAS, GOLFINHOS E BOTOS (MAMÍFEROS DA ORDEM CETACEA); DE PEIXES-BOI (MANATINS) E DUGONGOS (MAMÍFEROS DA ORDEM SIRENIA); DE OTÁRIAS E FOCAS, LEÕES-MARINHOS E MORSAS (MAMÍFEROS DA SUBORDEM PINNIPEDIA)	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02085000	- DE RÉPTEIS (INCLUINDO AS SERPENTES E AS TARTARUGAS MARINHAS)	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02086000	- DE CAMELOS E OUTROS CAMELÍDEOS (CAMELIDAE)	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02089000	- OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N3	02090000	TOUCINHO SEM PARTES MAGRAS, GORDURAS DE PORCO E DE AVES, NÃO FUNDIDAS NEM EXTRAÍDAS DE OUTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALGADOS OU EM SALMOURA, SECOS OU DEFUMADOS (FUMADOS).	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02091000	- DE PORCO	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02091010	TOUCINHO	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N7	02091011	FRESCO, REFRIGERADO OU CONGELADO	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N7	02091019	OUTROS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02091020	GORDURA	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N7	02091021	FRESCA, REFRIGERADA OU CONGELADA	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N7	02091029	OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02099000	- OUTROS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N2	02100000	CARNES E MIUDEZAS, COMESTÍVEIS, SALGADAS OU EM SALMOURA, SECAS OU DEFUMADAS (FUMADAS); FARINHAS E PÓS, COMESTÍVEIS, DE CARNES OU DE MIUDEZAS.	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02101000	- CARNES DA ESPÉCIE SUÍNA:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02101100	-- PERNAS, PÁS E RESPECTIVOS PEDAÇOS, NÃO DESOSSADOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02101200	-- TOUCINHOS ENTREMEADOS (BARRIGAS (ENTREMEADAS)*) E SEUS PEDAÇOS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02101900	-- OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02102000	- CARNES DA ESPÉCIE BOVINA	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N4	02109000	- OUTRAS, INCLUINDO AS FARINHAS E PÓS, COMESTÍVEIS, DE CARNES OU DE MIUDEZAS:	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02109100	-- DE PRIMATAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02109200	-- DE BALEIAS, GOLFINHOS E BOTOS (MAMÍFEROS DA ORDEM CETACEA); DE PEIXES-BOI (MANATINS) E DUGONGOS (MAMÍFEROS DA ORDEM SIRENIA); DE OTÁRIAS E FOCAS, LEÕES-MARINHOS E MORSAS (MAMÍFEROS DA SUBORDEM PINNIPEDIA)	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02109300	-- DE RÉPTEIS (INCLUINDO AS SERPENTES E AS TARTARUGAS MARINHAS)	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N5	02109900	-- OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02109910	CARNES DE AVES DA POSIÇÃO 01.05	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N7	02109911	DE GALOS E DE GALINHAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N7	02109919	OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02109920	CARNES DA ESPÉCIE OVINA	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02109930	CARNES DA ESPÉCIE CAVALAR	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02109940	MIUDEZAS COMESTÍVEIS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N6	02109990	OUTRAS	02: CARNES E MIUDEZAS, COMESTÍVEIS. 	01/04/2022	31/12/9999
N1	03000000	PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS.	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
N3	03010000	PEIXES VIVOS.	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
N4	03011000	- PEIXES ORNAMENTAIS:	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
N5	03011100	-- DE ÁGUA DOCE	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
N6	03011110	ARUANÃ (OSTEOGLOSSUM BICIRRHOSUM)	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
N6	03011190	OUTROS	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
N5	03011900	-- OUTROS	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
N4	03019000	- OUTROS PEIXES VIVOS:	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
N5	03019100	-- TRUTAS (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE E ONCORHYNCHUS CHRYSOGASTER)	03: PEIXES E CRUSTÁCEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQUÁTICOS. 	01/04/2022	31/12/9999
