Codigo	Descricao	Categoria	Data Início	Data Fim
02031200	-- Pernas, pás e respectivos pedaços, não desossados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02031900	-- Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02032	- Congeladas:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02032100	-- Carcaças e meias-carcaças	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02032200	-- Pernas, pás e respectivos pedaços, não desossados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02032900	-- Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0204	Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02041000	- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02042	- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02042100	-- Carcaças e meias-carcaças	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02042200	-- Outras peças não desossadas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02042300	-- Desossadas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02043000	- Carcaças e meias-carcaças de cordeiro, congeladas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02044	- Outras carnes de animais da espécie ovina, congeladas:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02044100	-- Carcaças e meias-carcaças	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02044200	-- Outras peças não desossadas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02044300	-- Desossadas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02045000	- Carnes de animais da espécie caprina	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02050000	Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0206	Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02061000	- Da espécie bovina, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02062	- Da espécie bovina, congeladas:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02062100	-- Línguas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02062200	-- Fígados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
020629	-- Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02062910	Rabos	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02062990	Outros	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02063000	- Da espécie suína, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02064	- Da espécie suína, congeladas:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02064100	-- Fígados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02064900	-- Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02068000	- Outras, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02069000	- Outras, congeladas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0207	Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02071	- De aves da espécie Gallus domesticus:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02071100	-- Não cortadas em pedaços, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02071200	-- Não cortadas em pedaços, congeladas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02071300	-- Pedaços e miudezas, frescos ou refrigerados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02071400	-- Pedaços e miudezas, congelados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02072	- De peruas e de perus:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02072400	-- Não cortadas em pedaços, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02072500	-- Não cortadas em pedaços, congeladas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02072600	-- Pedaços e miudezas, frescos ou refrigerados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02072700	-- Pedaços e miudezas, congelados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02074	- De patos:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02074100	-- Não cortadas em pedaços, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02074200	-- Não cortadas em pedaços, congeladas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02074300	-- Fígados gordos (foies gras), frescos ou refrigerados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02074400	-- Outras, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02074500	-- Outras, congeladas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02075	- De gansos:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02075100	-- Não cortadas em pedaços, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02075200	-- Não cortadas em pedaços, congeladas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02075300	-- Fígados gordos (foies gras), frescos ou refrigerados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02075400	-- Outras, frescas ou refrigeradas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02075500	-- Outras, congeladas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02076000	- De galinhas-d'angola (pintadas)	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0208	Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02081000	- De coelhos ou lebres	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02083000	- De primatas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02084000	- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02085000	- De répteis (incluindo as serpentes e as tartarugas marinhas)	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02086000	- De camelos e outros camelídeos (Camelidae)	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02089000	- Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0209	Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
020910	- De porco	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0209101	Toucinho	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02091011	Fresco, refrigerado ou congelado	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02091019	Outros	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0209102	Gordura	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02091021	Fresca, refrigerada ou congelada	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02091029	Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02099000	- Outros	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0210	Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e pós, comestíveis, de carnes ou de miudezas.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02101	- Carnes da espécie suína:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02101100	-- Pernas, pás e respectivos pedaços, não desossados	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02101200	-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02101900	-- Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02102000	- Carnes da espécie bovina	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109	- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109100	-- De primatas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109200	-- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109300	-- De répteis (incluindo as serpentes e as tartarugas marinhas)	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
021099	-- Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0210991	Carnes de aves da posição 01.05	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109911	De galos e de galinhas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109919	Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109920	Carnes da espécie ovina	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109930	Carnes da espécie cavalar	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109940	Miudezas comestíveis	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02109990	Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
03	Peixes e crustáceos, moluscos e outros invertebrados aquáticos.	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
0301	Peixes vivos.	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03011	- Peixes ornamentais:	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
030111	-- De água doce	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03011110	Aruanã (Osteoglossum bicirrhosum)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03011190	Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03011900	-- Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019	- Outros peixes vivos:	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
030191	-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019110	Para reprodução	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019190	Outras	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
030192	-- Enguias (Anguilla spp.)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019210	Para reprodução	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019290	Outras	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
030193	-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019310	Para reprodução	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019390	Outras	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
030194	-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019410	Para reprodução	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019490	Outras	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
030195	-- Atum-azul do sul (atum) (Thunnus maccoyii)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019510	Para reprodução	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019590	Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
030199	-- Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
0301991	Para reprodução	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019911	Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019912	Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019919	Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
0301999	Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019991	Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019992	Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03019999	Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
0302	Peixes frescos ou refrigerados, exceto os filés (filetes) de peixes e outra carne de peixes da posição 03.04.	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03021	- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03021100	-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03021300	-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03021400	-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03021900	-- Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03022	- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03022100	-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03022200	-- Solha (Pleuronectes platessa)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03022300	-- Linguados (Solea spp.)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03022400	-- Pregado (Psetta maxima)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03022900	-- Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03023	- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03023100	-- Albacora-branca (atum) (Thunnus alalunga)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03023200	-- Albacora-laje (atum) (Thunnus albacares)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03023300	-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03023400	-- Albacora-bandolim (atum) (Thunnus obesus)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03023500	-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03023600	-- Atum-azul do sul (atum) (Thunnus maccoyii)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03023900	-- Outros	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03024	- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do-índico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
03024100	-- Arenques (Clupea harengus, Clupea pallasii)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
030242	-- Anchovas (Biqueirões*) (Engraulis spp.)	03: Peixes e crustáceos, moluscos e outros invertebrados aquáticos. 	01/04/2022	31/12/9999
